id,name,number,degree,hobbies,city,personality_traits,sex,age,origin_country,average_grade,language,learning_pace,career_focus
3064,Mark Rice,+48395883741,Bachelor of Arts,['cooking'],Krakow,"['affable', 'courageous']",male,23,Poland,1.71,English + Poland,Medium,High
3065,Paul Tran,+48919378254,Bachelor of Science,"['sports', 'art', 'gaming', 'cooking']",Lublin,"['cowardly', 'honest']",male,28,Poland,2.98,English + Poland,Medium,Low
3066,Justin Robinson,+48829474530,Master of Science,"['reading', 'hiking', 'music', 'dancing', 'sports']",Lublin,"['picky', 'friendly', 'congenial', 'greedy', 'determined']",male,30,Ukraine,3.04,English + Ukraine,Medium,Medium
3067,Mark Thomas,+48279631694,Bachelor of Science,"['art', 'gaming']",Lublin,"['surly', 'unpredictable', 'sneaky', 'persistent', 'finicky']",female,30,Ukraine,4.12,English + Ukraine,Medium,Medium
3068,Jerry Ross,+48796420396,Master of Science,"['traveling', 'reading', 'dancing', 'sports']",Krakow,"['stingy', 'jealous', 'optimistic', 'forgetful']",female,30,Ukraine,1.91,English + Ukraine,Fast,Low
3069,George Gilbert,+48893398610,PhD,"['art', 'reading', 'music']",Gdansk,"['understanding', 'argumentative', 'selfish', 'boorish']",male,23,USA,4.7,English,Low,Low
3070,Andrea Rhodes,+48023113726,PhD,['cooking'],Katowice,"['pessimistic', 'finicky', 'indecisive']",male,24,Ukraine,3.9,English + Ukraine,Low,Low
3071,Karen Fleming,+48370548772,Master of Arts,"['art', 'cooking', 'traveling', 'dancing']",Warsaw,"['cowardly', 'self-centered', 'vulgar', 'accepting', 'patient', 'uncertain', 'humble']",male,30,Ukraine,4.61,English + Ukraine,Low,High
3072,Patricia Harrington,+48180945641,Bachelor of Arts,"['cooking', 'hiking']",Gdansk,['kind'],female,22,Ukraine,2.07,English + Ukraine,Fast,Medium
3073,Madison Powell,+48604085290,PhD,"['gaming', 'art']",Warsaw,"['insightful', 'reckless']",male,25,Poland,4.58,English + Poland,Low,Medium
3074,Ashley Kennedy,+48821932989,Master of Arts,"['hiking', 'sports', 'music']",Szczecin,"['unpredictable', 'driven', 'exuberant']",female,29,Germany,1.95,English,Medium,Low
3075,Lauren Anthony,+48261066597,Master of Science,"['cooking', 'reading', 'gaming']",Poznan,"['sympathetic', 'trustworthy', 'reckless']",male,22,Poland,4.84,English + Poland,Low,Low
3076,Lindsey Kelly,+48267895354,Master of Science,"['sports', 'music', 'traveling', 'gaming']",Lublin,"['malicious', 'indecisive', 'surly', 'empathic', 'unfriendly', 'congenial', 'intelligent']",male,26,Poland,4.6,English + Poland,Fast,High
3077,Ariana Gibson,+48744217361,Bachelor of Arts,"['reading', 'gaming']",Szczecin,"['manipulative', 'lazy', 'honest', 'greedy', 'uncertain', 'gregarious']",male,29,Poland,2.65,English + Poland,Low,High
3078,Thomas Schmidt,+48168504767,Master of Science,"['sports', 'reading', 'traveling', 'cooking', 'hiking']",Poznan,"['rude', 'persistent', 'competent', 'rigid', 'reckless']",male,30,France,3.36,English,Medium,Low
3079,Matthew Walker,+48852269578,Master of Arts,"['gaming', 'sports', 'music', 'art', 'hiking']",Warsaw,"['disloyal', 'obnoxious', 'trustworthy', 'arrogant', 'exuberant']",female,30,Poland,4.97,English + Poland,Low,Medium
3080,John Bell,+48464725196,Bachelor of Science,"['reading', 'music', 'traveling']",Gdansk,"['courageous', 'surly', 'congenial', 'reckless']",female,25,Ukraine,3.83,English + Ukraine,Low,Low
3081,April Doyle,+48305416313,PhD,"['dancing', 'art', 'traveling', 'gaming']",Katowice,"['humble', 'disloyal', 'precise']",female,27,Poland,4.52,English + Poland,Low,Low
3082,Jeffrey Rodriguez,+48883217770,Master of Arts,['dancing'],Szczecin,"['cowardly', 'intelligent', 'manipulative', 'selfish', 'enthusiastic', 'rigid']",female,22,Ukraine,1.36,English + Ukraine,Medium,High
3083,Michael Perez,+48570710633,Bachelor of Arts,['art'],Poznan,"['arrogant', 'charismatic', 'affable']",female,22,Ukraine,5.0,English + Ukraine,Medium,Medium
3084,Eduardo Arias,+48471658605,Bachelor of Arts,"['gaming', 'hiking']",Gdansk,"['adaptable', 'accepting']",male,25,Ukraine,1.32,English + Ukraine,Fast,Low
3085,Kevin Sellers,+48557928305,Bachelor of Arts,['traveling'],Krakow,"['reliable', 'precise', 'sociable', 'self-centered', 'impulsive']",male,26,Ukraine,4.06,English + Ukraine,Low,High
3086,Jerry Hayes,+48457074045,PhD,"['music', 'gaming', 'art', 'reading']",Warsaw,['cowardly'],male,22,UK,1.15,English,Medium,Low
3087,Rick Lewis,+48606634543,Bachelor of Arts,"['hiking', 'cooking', 'gaming', 'dancing']",Katowice,"['lazy', 'impatient', 'reckless', 'independent', 'exuberant', 'affable', 'bossy']",female,25,Poland,1.68,English + Poland,Fast,Low
3088,Andrew Armstrong,+48318110241,Bachelor of Science,"['gaming', 'cooking', 'music', 'dancing']",Poznan,"['indecisive', 'stingy']",female,23,Spain,3.33,English,Low,Medium
3089,Angela Evans,+48127509044,Bachelor of Science,"['hiking', 'music']",Poznan,"['affable', 'greedy', 'persistent', 'uncertain', 'bossy']",male,26,Poland,2.79,English + Poland,Low,Medium
3090,Rachel Stanley,+48983199278,Bachelor of Arts,"['reading', 'art', 'cooking']",Szczecin,"['patient', 'pessimistic']",male,27,Poland,4.8,English + Poland,Fast,High
3091,Melissa Todd,+48986884442,Bachelor of Arts,"['music', 'sports', 'hiking']",Poznan,"['trustworthy', 'patient']",female,30,Ukraine,2.3,English + Ukraine,Low,High
3092,Scott Schmidt,+48433398400,PhD,"['dancing', 'art', 'sports', 'reading', 'hiking']",Warsaw,"['self-centered', 'manipulative', 'jealous', 'rude', 'sociable']",male,30,Poland,1.66,English + Poland,Medium,High
3093,Lori Hall,+48925956145,Master of Science,"['art', 'reading', 'traveling', 'music']",Warsaw,['fair'],male,25,Poland,4.01,English + Poland,Fast,High
3094,Philip Mcdonald,+48747338766,PhD,"['sports', 'hiking', 'reading', 'cooking', 'art']",Gdansk,"['lazy', 'affable', 'rude', 'friendly', 'charismatic']",female,29,Ukraine,4.35,English + Ukraine,Fast,High
3095,Timothy Baker,+48693435433,PhD,"['gaming', 'art', 'hiking', 'music', 'sports']",Szczecin,"['loyal', 'disrespectful', 'impatient', 'courageous', 'stingy', 'apathetic']",female,29,Ukraine,4.64,English + Ukraine,Low,Low
3096,Bernard Landry,+48597935843,Bachelor of Arts,"['reading', 'gaming']",Krakow,"['surly', 'malicious']",male,29,France,4.54,English,Medium,Medium
3097,Kimberly Williams,+48666600904,PhD,['sports'],Krakow,"['selfish', 'forgetful', 'tolerant', 'honest']",female,23,Ukraine,2.1,English + Ukraine,Fast,Low
3098,Richard Morton,+48352351661,Master of Arts,"['dancing', 'traveling', 'music', 'reading']",Szczecin,"['dishonest', 'kind']",male,30,Ukraine,1.43,English + Ukraine,Medium,Low
3099,Lisa Hunt,+48108720776,Bachelor of Arts,"['gaming', 'art', 'music', 'dancing']",Katowice,"['impulsive', 'surly', 'aggressive', 'independent', 'helpful', 'loyal']",male,22,Ukraine,4.86,English + Ukraine,Low,Low
3100,Terri Smith,+48099921859,PhD,"['sports', 'hiking']",Katowice,"['helpful', 'dishonest', 'thoughtless', 'confident', 'surly', 'intelligent', 'unpredictable']",male,25,UK,4.16,English,Low,Medium
3101,Eric Fields,+48040065613,Bachelor of Science,"['art', 'traveling']",Katowice,"['persistent', 'patient', 'sarcastic']",male,27,Ukraine,3.64,English + Ukraine,Fast,Medium
3102,Rebekah Davis,+48643059525,Bachelor of Science,"['cooking', 'sports', 'art']",Gdansk,"['broad-minded', 'optimistic', 'affable']",female,30,Poland,3.12,English + Poland,Medium,Medium
3103,David Wilson,+48090857666,PhD,"['dancing', 'traveling', 'gaming', 'music', 'cooking']",Katowice,"['arrogant', 'sarcastic', 'persistent', 'impulsive', 'tolerant']",female,27,Spain,1.73,English,Low,Medium
3104,Christina Jimenez,+48629651818,Bachelor of Science,"['music', 'sports', 'art']",Gdansk,"['cowardly', 'aggressive', 'self-centered', 'disloyal', 'conceited']",female,30,Ukraine,1.29,English + Ukraine,Low,Medium
3105,Chad Coleman,+48052505971,Master of Science,['traveling'],Gdansk,"['obnoxious', 'gregarious', 'argumentative', 'optimistic', 'forgetful']",male,29,Ukraine,1.33,English + Ukraine,Medium,High
3106,Richard Gomez,+48526602669,Master of Arts,['traveling'],Lublin,"['callous', 'cowardly', 'impatient', 'adaptable', 'independent', 'slovenly']",female,22,France,3.23,English,Medium,High
3107,Amy Little,+48771699582,Bachelor of Arts,"['dancing', 'gaming', 'sports', 'cooking']",Lublin,['surly'],male,22,Ukraine,4.97,English + Ukraine,Low,Low
3108,Stephanie Jenkins,+48070232117,Master of Science,"['music', 'traveling']",Szczecin,"['charismatic', 'confident', 'callous', 'tolerant', 'pessimistic', 'mindful']",female,27,Poland,4.74,English + Poland,Medium,Low
3109,Jennifer Green,+48809036715,Bachelor of Science,"['traveling', 'sports']",Szczecin,"['finicky', 'manipulative', 'reckless', 'determined', 'arrogant']",male,29,France,2.49,English,Medium,Medium
3110,Cory Rios,+48286107535,Master of Arts,"['sports', 'art', 'dancing', 'hiking', 'gaming']",Wroclaw,"['congenial', 'bossy', 'compassionate', 'unpredictable', 'stingy']",male,30,Poland,1.89,English + Poland,Medium,Medium
3111,Jennifer Walton,+48437393940,Bachelor of Arts,"['sports', 'art', 'hiking', 'reading', 'gaming']",Gdansk,"['greedy', 'compassionate', 'charismatic', 'confident']",male,27,Ukraine,4.26,English + Ukraine,Medium,High
3112,Angela Daniels,+48780198033,PhD,"['hiking', 'gaming', 'art', 'sports', 'cooking']",Gdansk,"['bossy', 'selfish', 'kind', 'compassionate', 'exuberant']",male,25,Poland,3.41,English + Poland,Fast,High
3113,David Williams,+48828892201,Master of Arts,"['hiking', 'music']",Lublin,['thoughtless'],male,28,Poland,2.96,English + Poland,Medium,Low
3114,William Hayes,+48177127660,PhD,"['hiking', 'gaming', 'dancing']",Wroclaw,"['uncertain', 'surly', 'honest']",female,27,Poland,3.88,English + Poland,Fast,Medium
3115,Adam Myers,+48306133954,PhD,"['traveling', 'dancing', 'hiking', 'reading', 'cooking']",Wroclaw,['selfish'],male,26,Ukraine,3.79,English + Ukraine,Low,Medium
3116,Steven Patrick,+48078848318,Bachelor of Science,['gaming'],Krakow,['sociable'],male,30,Spain,3.65,English,Fast,Medium
3117,Lisa Maldonado,+48738253088,Master of Science,['hiking'],Katowice,"['understanding', 'impatient', 'reckless', 'dishonest', 'unpredictable', 'kind']",female,26,Ukraine,1.29,English + Ukraine,Medium,Low
3118,Ian Bridges,+48437992865,Master of Arts,"['music', 'traveling']",Szczecin,"['fair', 'rude']",female,25,Poland,4.32,English + Poland,Medium,Low
3119,Craig Gordon,+48641172372,Master of Arts,"['sports', 'reading', 'music']",Szczecin,"['surly', 'lazy', 'fair', 'congenial']",male,25,Ukraine,3.74,English + Ukraine,Low,Low
3120,Mariah Hardin,+48719768907,Master of Arts,"['reading', 'traveling']",Gdansk,['optimistic'],female,24,Poland,4.16,English + Poland,Fast,Medium
3121,Katie Allen,+48286189459,PhD,"['hiking', 'reading', 'gaming']",Poznan,"['manipulative', 'boorish', 'aggressive', 'reliable', 'compassionate', 'dishonest']",male,30,Ukraine,4.17,English + Ukraine,Medium,High
3122,Carolyn Roman,+48597663001,Bachelor of Arts,"['gaming', 'hiking', 'art', 'music']",Gdansk,"['argumentative', 'uncertain', 'empathic', 'creative', 'indecisive', 'intelligent', 'sneaky']",female,30,Ukraine,3.48,English + Ukraine,Low,Medium
3123,Ethan Hall,+48364104829,PhD,['art'],Warsaw,"['impatient', 'competent', 'confident', 'loyal', 'self-centered', 'rigid']",female,29,Poland,4.41,English + Poland,Fast,High
3124,Jared Cordova,+48059326000,Master of Arts,"['hiking', 'traveling', 'dancing']",Szczecin,"['malicious', 'accepting']",female,23,Ukraine,2.07,English + Ukraine,Low,Low
3125,Samantha Kelley,+48239161677,Bachelor of Science,['dancing'],Poznan,"['unpredictable', 'argumentative', 'determined', 'humble', 'lazy', 'picky']",male,24,Poland,1.62,English + Poland,Low,Medium
3126,William Harper DDS,+48300543036,Master of Science,"['dancing', 'cooking', 'art', 'reading', 'music']",Lublin,"['affable', 'tolerant', 'aggressive', 'manipulative', 'thoughtless', 'humble']",female,27,Poland,3.01,English + Poland,Medium,Medium
3127,Anna Brewer,+48473700746,Bachelor of Science,"['reading', 'gaming', 'sports', 'dancing']",Poznan,['impatient'],male,23,Poland,2.62,English + Poland,Fast,High
3128,Sue Lucas,+48628062232,PhD,"['sports', 'hiking', 'gaming']",Lublin,"['jealous', 'impatient']",female,30,Ukraine,2.47,English + Ukraine,Low,High
3129,Frederick Morris,+48568116800,Master of Science,"['hiking', 'art', 'gaming', 'reading']",Szczecin,"['arrogant', 'uncertain', 'sarcastic']",female,28,USA,3.81,English,Fast,Low
3130,David Sandoval,+48362009363,Bachelor of Arts,['hiking'],Warsaw,"['humble', 'disloyal', 'uncertain', 'conceited', 'determined', 'driven']",female,29,Ukraine,4.02,English + Ukraine,Low,High
3131,Emily Wagner,+48227420170,Master of Science,['traveling'],Lublin,"['self-centered', 'unpredictable', 'accepting', 'sneaky', 'trustworthy', 'slovenly', 'discreet']",male,22,Poland,2.26,English + Poland,Medium,High
3132,Anthony Newman,+48616098247,Bachelor of Arts,"['sports', 'music', 'reading', 'gaming', 'dancing']",Krakow,"['conceited', 'callous', 'selfish']",female,30,Poland,2.2,English + Poland,Low,Low
3133,Linda Watkins,+48727348712,PhD,"['sports', 'cooking', 'music']",Wroclaw,"['thoughtless', 'malicious', 'driven']",male,30,USA,3.84,English,Fast,Low
3134,Jacob Savage,+48331154645,Master of Science,"['gaming', 'art', 'sports']",Krakow,"['mindful', 'conceited']",male,25,USA,3.52,English,Low,High
3135,Ryan Hess,+48129293883,Bachelor of Arts,"['art', 'cooking', 'reading', 'dancing', 'gaming']",Katowice,"['driven', 'trustworthy', 'persistent', 'arrogant']",male,23,France,1.8,English,Low,Low
3136,Carolyn Perry,+48315474675,Bachelor of Science,"['cooking', 'dancing', 'gaming', 'reading', 'sports']",Wroclaw,"['responsible', 'mindful', 'rude', 'conceited', 'vulgar']",female,25,Poland,2.92,English + Poland,Fast,Medium
3137,Katie Franklin,+48893399328,Master of Science,"['sports', 'dancing', 'cooking']",Lublin,"['friendly', 'persistent', 'selfish', 'understanding']",female,25,Poland,4.83,English + Poland,Medium,High
3138,Karen Morgan,+48939620464,Master of Arts,"['reading', 'cooking', 'music', 'art']",Warsaw,['patient'],male,30,France,3.24,English,Low,Low
3139,Crystal Kelly MD,+48790486416,Master of Science,['gaming'],Szczecin,"['callous', 'understanding', 'impatient', 'malicious', 'obnoxious']",male,29,Poland,2.09,English + Poland,Medium,High
3140,Andrew Martin,+48044151946,Master of Science,"['dancing', 'hiking', 'art', 'music', 'cooking']",Krakow,['lazy'],female,25,Poland,3.8,English + Poland,Fast,High
3141,Miss Stacy Rodriguez,+48510838164,Master of Arts,['gaming'],Lublin,"['empathic', 'thoughtless', 'boorish']",female,29,Poland,1.42,English + Poland,Medium,Medium
3142,Joanna Liu,+48837040073,Bachelor of Science,"['reading', 'traveling', 'gaming', 'hiking']",Gdansk,"['courageous', 'enthusiastic']",male,24,Poland,2.35,English + Poland,Low,Low
3143,Kelsey Olson,+48313854427,Master of Arts,"['music', 'sports']",Wroclaw,"['congenial', 'dishonest', 'kind', 'finicky']",female,30,USA,2.49,English,Medium,Low
3144,James Nelson,+48208015066,Bachelor of Arts,"['gaming', 'hiking', 'reading', 'music']",Szczecin,"['exuberant', 'obnoxious', 'picky', 'impulsive', 'gregarious', 'friendly']",female,30,Ukraine,3.31,English + Ukraine,Low,Medium
3145,Ray Wiley,+48746806834,PhD,"['music', 'reading', 'hiking']",Szczecin,['intelligent'],male,30,Poland,3.1,English + Poland,Fast,High
3146,Tonya Walsh,+48401856434,Master of Science,"['art', 'hiking', 'traveling', 'music', 'cooking']",Szczecin,"['honest', 'selfish', 'cowardly', 'understanding', 'fair', 'conceited', 'helpful']",female,28,Poland,4.87,English + Poland,Low,Low
3147,Deborah Lambert,+48761097940,PhD,"['cooking', 'traveling', 'hiking']",Krakow,"['intelligent', 'unpredictable']",female,22,Ukraine,1.65,English + Ukraine,Medium,High
3148,John Vance,+48215316234,PhD,"['traveling', 'music', 'reading', 'cooking']",Poznan,['obnoxious'],male,28,Poland,2.83,English + Poland,Medium,Medium
3149,Marcus Leonard,+48321962513,PhD,"['gaming', 'music', 'traveling', 'reading', 'hiking']",Gdansk,"['optimistic', 'accepting', 'disrespectful', 'honest', 'congenial', 'manipulative']",male,26,Poland,3.56,English + Poland,Medium,Low
3150,Katelyn Valencia,+48091630762,Master of Science,['music'],Szczecin,"['greedy', 'argumentative', 'apathetic', 'determined', 'exuberant']",female,23,Poland,2.25,English + Poland,Low,Low
3151,Robert Guerrero,+48303073716,PhD,['traveling'],Warsaw,['insightful'],female,28,Poland,4.39,English + Poland,Medium,High
3152,Nicole Williams,+48956572022,Bachelor of Science,"['traveling', 'sports', 'cooking']",Warsaw,"['selfish', 'courageous', 'manipulative', 'obnoxious']",female,24,Poland,4.67,English + Poland,Medium,High
3153,Angela Reynolds,+48266229378,Master of Science,"['art', 'dancing', 'sports', 'music', 'reading']",Lublin,"['self-centered', 'competent', 'independent', 'aggressive', 'sympathetic', 'insightful']",male,27,UK,3.73,English,Low,Low
3154,Marvin Sullivan,+48765655746,PhD,['sports'],Warsaw,"['reliable', 'adaptable', 'stingy', 'manipulative']",male,23,Poland,2.59,English + Poland,Fast,High
3155,Bradley Stanley,+48303931891,Master of Science,"['hiking', 'traveling']",Katowice,"['bossy', 'self-centered', 'competent', 'confident', 'kind', 'gregarious']",female,28,Ukraine,1.55,English + Ukraine,Medium,High
3156,Colton Meadows,+48548243887,Master of Science,"['sports', 'cooking', 'reading', 'dancing', 'music']",Krakow,"['aggressive', 'broad-minded', 'apathetic', 'slovenly', 'gregarious']",female,26,Germany,2.45,English,Low,High
3157,Thomas Lopez,+48812524186,PhD,"['hiking', 'art', 'sports', 'dancing', 'reading']",Gdansk,"['dishonest', 'confident']",male,25,UK,1.71,English,Medium,High
3158,Lisa Barnes,+48167923925,PhD,"['hiking', 'traveling', 'gaming', 'reading', 'sports']",Gdansk,"['persistent', 'sociable', 'manipulative', 'friendly', 'precise', 'sarcastic']",male,27,Ukraine,4.11,English + Ukraine,Low,Medium
3159,Maria Harris,+48954119923,PhD,"['sports', 'art']",Lublin,"['accepting', 'responsible', 'patient', 'persistent', 'stingy']",male,29,Poland,2.27,English + Poland,Medium,High
3160,Kelly Moore,+48691621259,Bachelor of Science,['traveling'],Poznan,"['exuberant', 'reckless', 'vulgar', 'empathic', 'accepting', 'patient', 'independent']",male,29,USA,4.99,English,Medium,Low
3161,Ryan Jackson,+48766862927,Master of Science,"['music', 'art', 'traveling']",Katowice,"['gregarious', 'mindful', 'helpful']",male,26,Poland,1.12,English + Poland,Fast,High
3162,Nathan Gentry,+48640957427,Bachelor of Science,"['traveling', 'gaming', 'hiking', 'sports']",Krakow,"['congenial', 'mindful', 'disloyal']",male,24,Ukraine,4.4,English + Ukraine,Medium,High
3163,Matthew Howe,+48483148001,Bachelor of Arts,"['hiking', 'traveling', 'reading']",Wroclaw,"['sympathetic', 'intelligent', 'mindful']",male,27,France,4.65,English,Fast,Medium
3164,Xavier Reese,+48130898480,PhD,['cooking'],Krakow,"['competent', 'confident', 'insightful']",male,28,Poland,3.61,English + Poland,Medium,Medium
3165,Jordan Foster,+48334525810,Master of Science,"['cooking', 'sports']",Gdansk,"['affable', 'unfriendly', 'self-centered', 'slovenly']",female,29,UK,3.93,English,Medium,Medium
3166,Brian Vazquez,+48382047725,PhD,"['traveling', 'hiking']",Warsaw,"['optimistic', 'tolerant', 'lazy']",male,22,Poland,1.52,English + Poland,Medium,High
3167,Dr. Richard Sanchez MD,+48796922239,Bachelor of Arts,"['music', 'art', 'reading']",Warsaw,"['persistent', 'fair', 'impulsive', 'cowardly', 'lazy', 'indecisive', 'reckless']",female,27,Ukraine,3.13,English + Ukraine,Medium,Medium
3168,Kelly Hanson,+48804563078,Master of Arts,"['hiking', 'gaming', 'traveling']",Warsaw,"['disrespectful', 'courageous', 'accepting', 'picky', 'dishonest']",male,26,UK,1.77,English,Low,Low
3169,Tammy Hernandez,+48244621703,PhD,"['art', 'cooking', 'music', 'dancing']",Poznan,"['gregarious', 'tolerant']",male,22,Poland,3.98,English + Poland,Fast,High
3170,Michael Holland,+48026729532,PhD,"['hiking', 'cooking']",Warsaw,['persistent'],female,25,Poland,4.83,English + Poland,Fast,Low
3171,Craig Cook,+48464189263,Bachelor of Science,"['sports', 'reading', 'art']",Krakow,"['intelligent', 'picky', 'affable', 'discreet', 'impulsive']",female,26,Poland,3.41,English + Poland,Fast,Low
3172,Leslie Mendez,+48176480168,Bachelor of Arts,"['dancing', 'music', 'hiking', 'art']",Gdansk,['sneaky'],male,22,Poland,2.53,English + Poland,Medium,Low
3173,David Gutierrez,+48974333082,PhD,['dancing'],Warsaw,"['arrogant', 'obnoxious', 'compassionate', 'confident', 'argumentative', 'trustworthy', 'exuberant']",male,30,France,2.14,English,Fast,High
3174,Renee Cruz,+48987504379,Bachelor of Science,"['reading', 'traveling', 'cooking', 'dancing', 'music']",Warsaw,['competent'],male,24,UK,3.73,English,Medium,High
3175,Daniel Welch,+48154020382,Master of Arts,"['hiking', 'cooking', 'art']",Krakow,"['malicious', 'picky']",male,29,Poland,1.09,English + Poland,Low,Low
3176,Adrian Bass,+48304231796,Master of Science,"['dancing', 'traveling', 'gaming', 'art', 'hiking']",Warsaw,"['kind', 'malicious', 'stingy']",female,25,Ukraine,4.34,English + Ukraine,Low,High
3177,Samuel Cooper,+48994971114,Bachelor of Arts,"['reading', 'dancing', 'sports', 'cooking', 'music']",Wroclaw,"['rude', 'affable', 'understanding', 'accepting', 'pessimistic', 'adaptable', 'thoughtless']",female,29,Germany,3.58,English,Low,Low
3178,Keith Walker,+48079514956,Master of Science,"['traveling', 'cooking']",Poznan,"['conceited', 'rude']",male,24,Ukraine,2.2,English + Ukraine,Medium,High
3179,Michael Wood,+48965205408,Bachelor of Science,['hiking'],Lublin,['humble'],female,26,Ukraine,4.73,English + Ukraine,Medium,Low
3180,Benjamin Sanchez,+48808240221,Bachelor of Arts,"['art', 'gaming', 'reading']",Warsaw,"['apathetic', 'uncertain']",male,26,Ukraine,4.16,English + Ukraine,Fast,Medium
3181,Leah Roth,+48735461053,Bachelor of Science,"['art', 'music', 'cooking']",Lublin,"['mindful', 'affable', 'enthusiastic', 'friendly', 'callous', 'sarcastic', 'understanding']",female,30,Poland,2.51,English + Poland,Low,High
3182,Jack Wilkins,+48612591871,Bachelor of Science,"['music', 'dancing', 'traveling', 'gaming']",Katowice,"['picky', 'finicky']",female,30,USA,4.75,English,Fast,High
3183,Frank Armstrong,+48814757221,Master of Science,"['music', 'gaming']",Poznan,"['loyal', 'broad-minded', 'friendly', 'rigid', 'precise', 'malicious']",male,22,USA,2.32,English,Medium,High
3184,Theodore Olsen,+48055466348,PhD,['reading'],Lublin,"['enthusiastic', 'gregarious', 'cowardly', 'affable', 'slovenly', 'picky']",female,29,Ukraine,1.91,English + Ukraine,Fast,High
3185,Robert Ray,+48422418897,Bachelor of Science,['gaming'],Katowice,['independent'],female,22,Poland,3.99,English + Poland,Fast,Low
3186,Michelle Reynolds,+48622871447,Master of Science,['sports'],Katowice,"['honest', 'responsible', 'slovenly', 'surly', 'argumentative', 'trustworthy', 'intelligent']",female,25,Ukraine,3.69,English + Ukraine,Low,Low
3187,Harold Hawkins,+48489443252,Bachelor of Science,"['gaming', 'reading', 'sports', 'art']",Wroclaw,"['finicky', 'patient']",female,29,France,1.23,English,Fast,Medium
3188,Eugene Ferguson,+48050732349,Master of Arts,"['reading', 'gaming', 'art', 'dancing']",Lublin,"['arrogant', 'confident', 'dishonest', 'finicky', 'charismatic']",female,24,Poland,1.4,English + Poland,Medium,Low
3189,Michelle Mccormick,+48991759096,Master of Arts,"['gaming', 'music', 'hiking', 'dancing', 'reading']",Warsaw,"['sarcastic', 'congenial', 'uncertain']",male,29,Poland,2.67,English + Poland,Medium,High
3190,Cynthia Blair,+48196441407,Master of Arts,"['dancing', 'sports', 'traveling']",Wroclaw,"['mindful', 'aggressive', 'understanding', 'forgetful', 'courageous', 'confident', 'exuberant']",male,30,Ukraine,1.6,English + Ukraine,Low,Low
3191,Terri Drake,+48765998876,Master of Arts,"['dancing', 'reading', 'gaming', 'traveling']",Krakow,"['responsible', 'tolerant', 'loyal']",female,30,Poland,4.07,English + Poland,Low,Medium
3192,Brad Buckley,+48274202524,Bachelor of Arts,"['art', 'reading', 'gaming']",Wroclaw,"['reckless', 'callous', 'indecisive', 'adaptable', 'vulgar', 'impatient']",female,29,Poland,2.92,English + Poland,Fast,Low
3193,Martha Nelson,+48222008236,Bachelor of Arts,"['gaming', 'music', 'dancing', 'art', 'reading']",Gdansk,"['vulgar', 'unpredictable', 'competent', 'conceited', 'honest', 'independent']",male,28,Poland,4.36,English + Poland,Medium,High
3194,Timothy Solis,+48971577364,Bachelor of Science,['art'],Warsaw,['reliable'],male,24,Poland,4.61,English + Poland,Fast,Medium
3195,Lisa Shaffer,+48025304485,Bachelor of Science,"['cooking', 'music', 'reading', 'gaming', 'traveling']",Poznan,"['driven', 'bossy', 'fair', 'trustworthy']",male,25,France,1.9,English,Medium,Medium
3196,Jennifer Hart,+48649161496,Bachelor of Science,['traveling'],Szczecin,"['persistent', 'gregarious']",male,30,Poland,4.32,English + Poland,Medium,High
3197,Joseph Calderon,+48447283936,PhD,"['art', 'traveling', 'hiking', 'sports']",Krakow,['slovenly'],female,27,Ukraine,1.33,English + Ukraine,Medium,Low
3198,Robert Berry,+48298801633,Master of Arts,"['music', 'dancing', 'traveling', 'hiking', 'gaming']",Lublin,"['adaptable', 'disloyal', 'exuberant', 'responsible']",female,22,Ukraine,2.39,English + Ukraine,Medium,Low
3199,Christopher Hernandez,+48250606518,Master of Arts,"['cooking', 'hiking', 'traveling', 'music', 'art']",Krakow,"['jealous', 'courageous', 'tolerant', 'uncertain', 'reliable']",male,27,Ukraine,1.19,English + Ukraine,Low,High
3200,Anna Ashley,+48400784342,PhD,"['cooking', 'dancing']",Lublin,"['tolerant', 'charismatic', 'indecisive', 'exuberant']",male,27,Ukraine,2.15,English + Ukraine,Fast,High
3201,Kelly Cox,+48018773736,PhD,"['music', 'hiking', 'dancing']",Krakow,"['accepting', 'empathic', 'dishonest', 'optimistic']",male,25,Italy,3.6,English,Medium,Medium
3202,Rhonda Miller,+48508677543,Master of Science,"['cooking', 'reading', 'sports']",Gdansk,"['sociable', 'stingy', 'helpful']",male,25,Ukraine,1.76,English + Ukraine,Fast,Medium
3203,Mr. Kevin Morales MD,+48124975366,PhD,"['dancing', 'traveling']",Krakow,"['rigid', 'adaptable']",female,24,UK,3.42,English,Fast,Medium
3204,Jennifer Garcia,+48738417639,PhD,"['cooking', 'hiking', 'dancing', 'art']",Gdansk,"['accepting', 'adaptable', 'confident', 'rude']",female,24,Ukraine,2.37,English + Ukraine,Low,High
3205,Lisa Bryant DDS,+48328466627,PhD,"['gaming', 'dancing', 'traveling', 'reading']",Katowice,['callous'],male,29,Poland,3.19,English + Poland,Fast,Medium
3206,Donald Smith,+48732521595,PhD,"['hiking', 'dancing', 'traveling', 'cooking']",Gdansk,"['bossy', 'callous']",male,28,Poland,1.21,English + Poland,Medium,High
3207,Marilyn Williams,+48402067843,Bachelor of Science,"['hiking', 'dancing', 'gaming', 'reading']",Gdansk,"['greedy', 'friendly', 'enthusiastic', 'callous', 'courageous', 'humble', 'picky']",female,27,Poland,1.54,English + Poland,Medium,Medium
